,BEER,NONALCOHOL,BURGER,HOTDOG,TW1,TW2,TW3
0,3,0,1,2,0,0,1
1,4,4,2,2,0,1,1
2,4,3,3,1,1,0,1
3,3,3,2,0,0,0,1
4,4,4,1,1,0,0,1
5,3,2,2,0,1,1,1
6,0,4,1,0,0,0,1
7,4,3,3,2,0,1,1
8,4,4,0,1,0,0,1
9,2,3,0,3,0,1,1
10,3,2,0,3,1,1,0
11,2,3,1,0,0,0,1
12,3,3,3,1,0,1,1
14,1,4,0,1,0,1,1
15,4,1,2,1,0,0,1
16,5,3,1,2,1,0,1
17,0,3,1,0,0,0,1
18,0,3,3,1,0,1,1
19,2,1,1,1,0,1,1
20,3,4,0,2,0,0,1
21,2,3,0,2,0,1,1
22,3,5,1,0,0,1,1
23,4,4,3,2,0,1,1
24,5,1,1,1,0,1,1
25,1,2,0,3,1,1,1
26,3,2,0,1,0,1,1
27,2,4,0,2,0,1,1
28,0,4,0,1,0,1,1
29,6,2,0,1,0,0,1
30,4,1,2,1,1,1,1
31,2,3,3,1,0,1,1
33,3,1,2,1,1,0,1
35,4,4,2,0,1,0,1
37,0,3,0,2,0,0,1
38,5,3,0,1,0,0,1
39,3,2,0,0,0,1,0
41,1,3,0,1,0,0,1
42,2,4,2,1,1,1,1
43,2,3,1,0,0,0,1
44,3,1,1,0,0,0,1
45,2,4,2,1,0,0,1
46,0,0,1,1,1,0,1
47,4,0,1,1,0,1,1
48,0,3,1,0,1,1,0
49,3,3,1,0,1,0,1
50,1,3,2,1,0,1,1
51,0,2,2,1,0,0,1
52,2,2,2,0,0,1,0
53,2,3,1,2,0,1,1
54,2,3,0,2,1,0,1
55,4,4,1,0,0,1,0
56,5,6,3,1,0,1,1
57,3,0,2,1,1,0,1
59,3,4,3,2,1,1,1
60,1,2,0,0,0,1,1
61,3,5,2,0,1,1,0
62,6,0,3,1,1,0,0
63,4,3,0,0,1,1,1
64,3,3,1,2,1,1,1
65,3,3,1,0,1,0,0
66,5,4,1,0,0,0,1
67,4,3,0,2,1,1,1
68,2,5,3,0,0,1,1
70,2,3,0,0,0,0,1
71,4,4,3,2,0,1,1
